identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0006207749;NANCY COMPOST (Erbeviller);42968929200010;14 rue Charles Berlet;54110;REMEREVILLE;MEURTHE-ET-MOSELLE;GRAND-EST;898300;2419500;27572;0161Z;Activités de soutien aux cultures;;
0005801685;SCI SOGARIS PORT DE ROUEN VALLEE DE SEINE;42266874900019;"Bâtiment 1
 Boulevard de l'île aux oiseaux";76530;GRAND-COURONNE;SEINE-MARITIME;NORMANDIE;503400;2485100;27572;6820B;Location de terrains et d'autres biens immobiliers;;
0005805043;SUEZ RV OSIS NORD BARENTIN;37855152700039;Z.A. Les Campeaux;76360;BARENTIN;SEINE-MARITIME;NORMANDIE;499932;2506807;27572;3700Z;Collecte et traitement des eaux usées;;
0006000529;ISDND;25232607900016;LES GRANDES FOUGERES;23300;NOTH;CREUSE;NOUVELLE-AQUITAINE;542174;2137041;27572;3821Z;Traitement et élimination des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
0006103121;TECUMSEH LA MURE SAS;80841005400015;Z.I. Saint Honoré;38350;LA MURE;ISERE;AUVERGNE-RHONE-ALPES;872543;1995388;27572;2813Z;Fabrication d'autres pompes et compresseurs;;
0006103187;LINDE FRANCE S.A. SALAISE;39263124800151;"Usine de SALAISE 
 Z I P 505 rue Denis Papin";38150;SALAISE-SUR-SANNE;ISERE;AUVERGNE-RHONE-ALPES;794444;2041256;27572;2120Z;Fabrication de préparations pharmaceutiques;;
0006103164;VALEO;95550029300076;10 rue du Revolay - BP 71;38291;SAINT-QUENTIN-FALLAVIER;ISERE;AUVERGNE-RHONE-ALPES;816334;2074100;27572;2931Z;Fabrication d'équipements électriques et électroniques automobiles;;
0010008295;SETRAD;41030369700198;"Lieu-dit ""La Vente Maugars""";45770;SARAN;LOIRET;CENTRE;1.863015;47.957783;4326;3821Z;Traitement et élimination des déchets non dangereux;;
0006103105;SICO (Société Industrielle de Conditionnement Optimisé );69732053900037;"53 avenue de l'Europe
 BP 206";38522;SAINT-EGREVE;ISERE;AUVERGNE-RHONE-ALPES;862671;2032244;27572;8292Z;Activités de conditionnement;;
0005204071;GAMA - Cazères rive droite (Jouanlane);41854119900109;;40270;CAZERES-SUR-L'ADOUR;LANDES;NOUVELLE-AQUITAINE;386089;1865682;27572;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0006103701;COMELA;43381339100029;ZI de La Ponchonnière;69210;SAIN-BEL;RHONE;AUVERGNE-RHONE-ALPES;775800;2092600;27572;2932Z;Fabrication d'autres équipements automobiles;;
0006104524;SAS AIRPORC / ELEVAGE TECHE;35164415800039;"2455 route du Perron
 LA COUPINIERE";38470;TECHE;ISERE;AUVERGNE-RHONE-ALPES;839103;2024701;27572;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0006104864;VALETTE & GAURAND;57450668900045;ZI de Molina La Chazotte 282, rue Albert CAMUS;42350;LA TALAUDIERE;LOIRE;AUVERGNE-RHONE-ALPES;763700;2055400;27572;2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;;
0006200045;USINE DE PONT.A.MOUSSON SERVICE AGGLOMERATION;75580210501020;Avenue Charles Roth BP 29;54940;BELLEVILLE;MEURTHE-ET-MOSELLE;GRAND-EST;876256;2430875;27572;2451Z;Fonderie de fonte;2.(a);Installations de grillage ou de frittage de minerai métallique, y compris de minerai sulfuré
0006201372;ISDND de Hesse;30536288100289;Route de Hesse;57400;HESSE;MOSELLE;GRAND-EST;946500;2421063;27572;3821Z;Traitement et élimination des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
0006206251;SUEZ Eau France - TAIJI;41003460701043;Derrière Maximont Nord;88190;GOLBEY;VOSGES;GRAND-EST;904625;2362588;27572;3821Z;Traitement et élimination des déchets non dangereux;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0006206616;ELIVIA ETABLISSEMENT MIRECOURT;52164824600028;Rue de Bourgogne - Aéropole Sud Lorraine;88500;MIRECOURT;VOSGES;GRAND-EST;881674;2372929;27572;1011Z;Transformation et conservation de la viande de boucherie;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0006300902;SECHE Eco-Industries - site : Mézerolles;33405518300035;"Les Hêtres
 BP 20";53811;CHANGE;MAYENNE;PAYS-DE-LA-LOIRE;367100;2349100;27572;3821Z;Traitement et élimination des déchets non dangereux;5.(d);Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes
0006208331;Union Laitière de la Meuse (ULM);78341199400024;le Nid du Cygne;55100;BRAS-SUR-MEUSE;MEUSE;GRAND-EST;821500;2472407;27572;4633Z;Commerce de gros (commerce interentreprises) de produits laitiers, ufs, huiles et matières grasses comestibles;;
0006301151;SOCOPA VIANDES Site d'EVRON;50851378500107;route de voutré;53600;EVRON;MAYENNE;PAYS-DE-LA-LOIRE;396200;2354305;27572;1011Z;Transformation et conservation de la viande de boucherie;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0006301549;DRAHTZUG STEIN Saprofil;78835831500018;5 Rue Clément Ader;85340;OLONNE-SUR-MER;VENDEE;PAYS-DE-LA-LOIRE;284900;2179000;27572;2599A;Fabrication d'articles métalliques ménagers;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0006301568;ARRIVE S A S -ST FULGENT;54665036700016;Rue du stade;85250;SAINT-FULGENT;VENDEE;PAYS-DE-LA-LOIRE;332211;2211589;27572;1012Z;Transformation et conservation de la viande de volaille;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0006301896;Moteurs Leroy Somer sas;33856725800102;route de Spay;72700;ALLONNES;SARTHE;PAYS-DE-LA-LOIRE;437406;2332137;27572;2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;;
0007040320;CARS CASSE;32596809700015;;59220;DENAIN;NORD;HAUTS-DE-FRANCE;674875;2592854;27572;3832Z;Récupération de déchets triés;;
0006302457;FARMEA;48838591500027;"10 rue Bouché Thomas
 BP 50723";49007;ANGERS;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;381912;2278801;27572;2120Z;Fabrication de préparations pharmaceutiques;;
0005603226;COMMUNE DE LOUROUX DE BOUBLE - ISDI;21030152900017;;03330;LOUROUX-DE-BOUBLE;ALLIER;AUVERGNE-RHONE-ALPES;649625;2136213;27572;8411Z;Administration publique générale;;
0006303521;LES PAGANNES SCEA;38369109400023;Le Vigneau;85600;TREIZE-SEPTIERS;VENDEE;PAYS-DE-LA-LOIRE;328748;2226700;27572;0147Z;Élevage de volailles;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0006304568;STOROPACK France SAS anetz;54208795200082;320, rue d'Anjou;44150;ANETZ;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;340578;2270726;27572;2222Z;Fabrication d'emballages en matières plastiques;;
0006305633;BODET SA;77561050400018;Rue de Général De Gaulle;49340;TREMENTINES;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;362900;2240400;27572;2652Z;Horlogerie;;
0006400147;CNIM LAGOUBRAN;66204359500146;Avenue Estienne D'orves;83500;LA SEYNE-SUR-MER;VAR;PROVENCE-ALPES-COTE-D'AZUR;888750;1795946;27572;7112B;Ingénierie, études techniques;;
0006400321;JEAN NIEL;41575030600045;"179 boulevard Emmanuel Rouquier
 Z.I des Bois de Grasse";06130;GRASSE;ALPES-MARITIMES;PROVENCE-ALPES-COTE-D'AZUR;970214;1860624;27572;2053Z;Fabrication d'huiles essentielles;4.(a).(i);hydrocarbures simples (linéaires ou cycliques, saturés ou insaturés, aliphatiques ou aromatiques)
0006401524;D'HUART INDUSTRIE;38288332000014;RUE PIERRE DRAVET;13011;MARSEILLE;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE-D'AZUR;846880;1815839;27572;2443Z;Métallurgie du plomb, du zinc ou de l'étain;2.(e).(ii);destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux
0006402014;OVINALP FERTILISATION;34472531200013;Le Plan;05300;RIBIERS;HAUTES-ALPES;PROVENCE-ALPES-COTE-D'AZUR;881299;1920900;27572;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;;
0006401351;RABILLON;70622037300015;Z.I. Chemin de Meyne Claire B.P.126;84104;ORANGE;VAUCLUSE;PROVENCE-ALPES-COTE-D'AZUR;797748;1907266;27572;2512Z;Fabrication de portes et fenêtres en métal;;
