Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2007,0.13,1413,0 - 200 PE,0.0346,0.04126,0.279,0.27963,1.08,1.08225,2.61,2.61545,1.09,1.09228,0.0271,0.03717,0.285,0.28564,0.22,0.22154,0.545,0.54617,0.189,0.19032,-2,3,80,79,83,6.74,7.63,3.86,0.775,26.1,6.09,9.34,1.91,63.2,15.3,2.42,2.48,0.873,0.787,5.92,6.029999999999999,22.9,4.68,55.300000000000004,11.5,23.099999999999998,4.0200000000000005
2007,1.14,1680,200 - 2 000 PE,0.44,0.44168,2.78,2.78819,12,12.0363,28.4,28.48591,12.6,12.63477,0.251,0.25396,1.76,1.77172,1.33,1.33483,4.73,4.74431,2.04,2.04723,36,43,89,83,84,6.33,7.02,4.31,0.748,27.3,5.27,10.2,2.67,64.6,18.8,2.37,3.57,1.07,0.6130000000000001,6.74,4.29,29,3.21,68.8,11.5,30.5,4.9399999999999995
2007,1.47,354,2 000 - 10 000 PE,0.592,0.5957,4.19,4.21617,18.3,18.4143,43.8,44.07357,20.3,20.42679,0.261,0.26317,1.28,1.28799,0.989,0.99518,5.12,5.15198,2.45,2.4653,70,56,95,88,88,7.07,4.9,4.36,0.775,30.8,3.79,10.5,4.01,74,19.7,2.4,5.18,1.11,0.491,7.87,2.4,34.3,1.86,82.4,9.629999999999999,38.1,4.6
2007,3.95,157,10 000 - 100 000 PE,1.33,1.33,10.7,10.7,42.6,42.6,99,99,44.9,44.9,0.402,0.402,2.48,2.48,1.68,1.68,8.36,8.36,3.03,3.03,77,70,96,92,93,8.06,6.17,3.98,0.676,32.1,4.17,9.27,3.37,74.7,20.8,2.33,4.98,0.92,0.279,7.420000000000001,1.72,29.6,1.16,68.7,5.8,31.099999999999998,2.11
2007,3.69,17,> 100 000 PE,1.19,1.19,8.06,8.06,34.8,34.8,80.2,80.2,39.1,39.1,0.329,0.329,4.62,4.62,2.38,2.38,10.1,10.1,2.87,2.87,43,72,93,87,93,6.75,14,4.32,0.514,29.2,7.22,9.94,2.18,67.1,30.7,2.3,4.25,0.887,0.244,5.989999999999999,3.4299999999999997,25.9,1.76,59.5,7.5,29,2.13
2008,0,76,unreported PE,0.135,0.135,0.47,0.47,2.05,2.05,4.88,4.88,2.41,2.41,0.036,0.036,0.306,0.306,0.401,0.401,1.21,1.21,0.627,0.627,33,73,80,75,74,3.48,8.82,4.35,1.28,15.1,11.1,10.4,3.78,36.1,33.4,2.38,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.14,1505,0 - 200 PE,0.0416,0.0421,0.307,0.31052,1.17,1.1834,2.84,2.87252,1.19,1.20363,0.0295,0.02986,0.285,0.30105,0.227,0.23006,0.577,0.58361,0.197,0.19947,1,29,81,80,83,7.37,10.2,3.81,0.773,28.1,7.69,9.27,1.93,68.3,19.6,2.43,2.55,0.8260000000000001,0.5860000000000001,6.09,5.91,23.2,4.51,56.4,11.5,23.7,3.92
2008,1.16,1723,200 - 2 000 PE,0.455,0.45849,3.04,3.06152,12.4,12.49104,30.1,30.32099,13,13.09204,0.252,0.25513,1.5,1.68128,1.23,1.23954,4.85,4.88561,1.99,2.00569,46,44,90,84,85,6.68,6.58,4.07,0.77,27.2,4.89,9.92,3,66.3,19.3,2.43,3.94,1.08,0.6,7.2,3.96,29.3,2.92,71.4,11.5,30.8,4.7299999999999995
2008,1.53,370,2 000 - 10 000 PE,0.574,0.57588,4.08,4.09336,17.5,17.55732,43.1,43.24118,19.3,19.36322,0.25,0.25082,1.19,1.21317,0.935,0.93806,5.1,5.11671,2.4,2.40786,70,56,95,88,88,7.11,4.82,4.29,0.774,30.5,3.74,10.6,4.22,75.2,20.4,2.46,5.45,1.03,0.449,7.32,2.17,31.5,1.6800000000000002,77.39999999999999,9.16,34.7,4.3
2008,4.08,162,10 000 - 100 000 PE,1.26,1.26,9,9,40,40,96,96,44.4,44.4,0.376,0.376,2.22,2.24308,1.42,1.42,7.95,7.95,2.75,2.75,75,70,96,92,94,7.15,6.04,4.45,0.631,31.8,3.79,10.7,3.45,76.2,21.1,2.4,5.58,0.8450000000000001,0.252,6.04,1.51,26.9,0.955,64.4,5.33,29.8,1.85
2008,3.69,17,> 100 000 PE,1.16,1.16,8.39,8.39,35.6,35.6,81.1,81.1,41,41,0.325,0.325,4.27,4.27,2.36,2.36,9.97,9.97,2.83,2.83,49,72,93,88,93,7.25,13.1,4.25,0.554,30.8,7.28,9.67,2.34,70.1,30.7,2.28,4.22,0.859,0.241,6.23,3.17,26.4,1.75,60.199999999999996,7.4,30.4,2.1
2009,0,6,unreported PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.147,1572,0 - 200 PE,0.0437,0.04482,0.323,0.33065,1.24,1.26902,3.02,3.09067,1.26,1.28948,0.0304,0.03127,0.275,0.31127,0.227,0.23304,0.601,0.61588,0.203,0.20835,4,30,82,80,84,7.39,10.2,3.82,0.747,28.2,7.48,9.33,1.88,68.9,19.7,2.44,2.64,0.838,0.584,6.19,5.8100000000000005,23.599999999999998,4.36,57.7,11.5,24.2,3.8899999999999997
