Year,basin,PE_bin,sludge_production,sludge_spread,sludge_compost,sludge_landfill,sludge_incinerated,sludge_to_other_WWTP,sludge_industrial_valorisation,capacity,nb_WWTP
2014,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,2.275996,3487
2014,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.347661,762
2014,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,7.348199,248
2014,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.489997,30
2014,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.125473,1261
2014,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.183884,1790
2014,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.740261,401
2014,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.454149,168
2014,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.1859,18
2014,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.116902,1090
2014,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.788007,2723
2014,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.214209,725
2014,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.248261,333
2014,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,11.831514,42
2015,Artois-Picardie,0 - 200 PE,1.23e-4,0,0,0,0,0,0,0.003379,27
2015,Artois-Picardie,200 - 2 000 PE,0.001737,0,0,0,0,0,0,0.213918,244
2015,Artois-Picardie,2 000 - 10 000 PE,0.006955,8.2e-5,0,0,0,0,0,0.744327,146
2015,Artois-Picardie,10 000 - 100 000 PE,0.028531,0,0,0,0,0,0,2.51492,85
2015,Artois-Picardie,> 100 000 PE,0.03223,0,0,0,0,0,0,2.500333,12
2015,Rhin-Meuse,0 - 200 PE,8.2e-5,0,0,0,0,0,0,0.014851,121
2015,Rhin-Meuse,200 - 2 000 PE,0.001383,1e-6,0,0,0,0,0,0.306818,451
2015,Rhin-Meuse,2 000 - 10 000 PE,0.009259,8e-6,9.3e-5,0,0,0,0,0.835797,174
2015,Rhin-Meuse,10 000 - 100 000 PE,0.032947,0,0,0,0,0,0,2.662891,92
2015,Rhin-Meuse,> 100 000 PE,0.040785,0,0,0,0,0,0,3.20355,9
2015,Seine-Normandie,0 - 200 PE,3.14e-4,2.9e-5,0,0,0,0,0,0.043293,382
2015,Seine-Normandie,200 - 2 000 PE,0.00817,7.8e-5,5.4e-5,0,3e-6,7e-6,0,1.15407,1628
2015,Seine-Normandie,2 000 - 10 000 PE,0.019833,8.1e-4,2.3e-5,1e-5,0,4e-6,0,2.001394,480
2015,Seine-Normandie,10 000 - 100 000 PE,0.062344,0.001485,0.001285,0,3.2e-5,0,0,5.179862,178
2015,Seine-Normandie,> 100 000 PE,0.221221,0,0,0,0,0,0,19.196633,28
