Année;code_STEP;Nom_STEP;Capacité_EH;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau_2010;Nom_Masse_Eau_2010;Code_Masse_Eau_2016;Nom_Masse_Eau_2016
2015;060930141001;Laudun L'Ardoise - Village;6400;Biologique avec nitrification;833980;6335567;834001;6335542;1;30141;LAUDUN L'ARDOISE;30;76;;;;;
2015;060930141003;Laudun L'Ardoise;3800;Biologique Simple;836645;6334170;837143;6334497;2;30141;LAUDUN L'ARDOISE;30;76;;;;;
2015;060930142001;Laval Pradel;250;Biologique Simple;785064;6348233;784820;6347173;3;30142;LAVAL PRADEL;30;76;;;;;
2015;060930144002;Lecques Ancienne;300;Biologique Simple;785243;6304430;785193;6304301;2;30144;LECQUES;30;76;;;;;
2015;060930145002;Ledenon;1500;Biologique avec nitrification;822061;6311873;822055;6311838;1;30145;LEDENON;30;76;;;;;
2015;060930147002;Lezan                         ;1500;Biologique avec nitrification;784282;6325335;784258;6325351;2;30147;LEZAN;30;76;;;;;
2015;060930148001;Liouc;400;Filtres plantés;779967;6310851;779967;6310851;1;30148;LIOUC;30;76;;;;;
2015;060930150002;Logrian Florian;300;Biologique avec nitrification;782433;6318024;782399;6318021;2;30150;LOGRIAN FLORIAN;30;76;;;;;
2015;060930151001;Lussan;335;Filtres plantés;809100;6340570;808896;6340541;2;30151;LUSSAN;30;76;;;;;
2015;060930152002;Les Mages;3500;Biologique avec nitrification et dénitrification;793700;6347120;793755;6347090;1;30152;LES MAGES;30;76;;;;;
2015;060930152002;Les Mages;3500;Biologique avec nitrification et dénitrification;793700;6347120;793755;6347090;1;30152;LES MAGES;30;76;;;;;
2015;060930155002;Manduel                       ;9000;Biologique avec nitrification et dénitrification;817713;6303749;817690;6303767;1;30155;MANDUEL;30;76;;;;;
2015;060930156002;Marguerittes;15000;Biologique avec nitrification et dénitrification;816704;6307411;816862;6307018;1;30156;MARGUERITTES;30;76;;;;;
2015;060930156002;Marguerittes;15000;Biologique avec nitrification et dénitrification;816704;6307411;816862;6307018;1;30156;MARGUERITTES;30;76;;;;;
2015;060930158001;Martignargues                 ;220;Lagunage;794702;6328070;794918;6328054;1;30158;MARTIGNARGUES;30;76;;;;;
2015;060930159001;Le Martinet                   ;1000;Biologique Simple;787416;6350295;787477;6350372;1;30159;LE MARTINET;30;76;;;;;
2015;060930161001;Massanes;300;Décantation primaire ou fosse toutes eaux;789570;6326085;789580;6326264;2;30161;MASSANES;30;76;;;;;
2015;060930162002;Massillargues Attuech;1700;Filtres plantés;782664;6325780;782663;6325866;1;30162;MASSILLARGUES ATTUECH;30;76;;;;;
2015;060930162002;Massillargues Attuech;1700;Filtres plantés;782664;6325780;782663;6325866;1;30162;MASSILLARGUES ATTUECH;30;76;;;;;
2015;060930164001;Mejannes Le Clap;2000;Biologique avec nitrification;808711;6349248;809744;6353082;2;30164;MEJANNES LE CLAP;30;76;;;;;
2015;060930165001;Mejannes Les Ales             ;1300;Filtres plantés;792227;6333238;792232;6333171;1;30165;MEJANNES LES ALES;30;76;;;;;
2015;060930166002;Meynes;3000;Biologique avec nitrification;826590;6310046;826577;6310020;2;30166;MEYNES;30;76;;;;;
2015;060930167001;Meyrannes                     ;1000;Biologique avec nitrification;794552;6353044;794585;6353040;1;30167;MEYRANNES;30;76;;;;;
2015;060930168001;Mialet;2000;Biologique avec nitrification;777013;6332940;776992;6332950;2;30168;MIALET;30;76;;;;;
2015;060930169002;Milhaud                       ;7000;Biologique avec nitrification et dénitrification;806170;6299079;806142;6299048;1;30169;MILHAUD;30;76;;;;;
2015;060930171001;Molieres Sur Ceze;2000;Lagunage;793233;6352740;793045;6352694;1;30171;MOLIERES SUR CEZE;30;76;;;;;
2015;060930171002;Molieres Sur Ceze - Brousses;600;Filtres plantés;790169;6351576;790239;6351555;1;30171;MOLIERES SUR CEZE;30;76;;;;;
2015;060930172001;Monoblet                      ;1000;Biologique avec nitrification;771850;6322567;771893;6322533;1;30172;MONOBLET;30;76;;;;;
2015;060930173001;Mons - Village;1000;Biologique avec nitrification;792934;6335783;792892;6335794;2;30173;MONS;30;76;;;;;
2015;060930173002;Mons - Celas;1000;Biologique avec nitrification;793682;6337655;793678;6337659;2;30173;MONS;30;76;;;;;
2015;060930176001;Montdardier;440;Filtres plantés;747576;6314760;747844;6314874;2;30176;MONTDARDIER;30;76;;;;;
2015;060930179002;Montfrin;5000;Biologique avec nitrification;827847;6309317;827802;6309266;1;30179;MONTFRIN;30;76;;;;;
2015;060930180002;Montignargues;800;Filtres plantés;797249;6315613;797208;6315380;1;30180;MONTIGNARGUES;30;76;;;;;
2015;060930181002;Montmirat;400;Filtres plantés;788586;6312243;788497;6312170;2;30181;MONTMIRAT;30;76;;;;;
2015;060930182002;Montpezat;1200;Biologique avec nitrification;792958;6305994;792978;6305970;2;30182;MONTPEZAT;30;76;;;;;
2015;060930183003;Moulezan;1000;Filtres plantés;;;;;;30183;MOULEZAN;30;76;;;;;
2015;060930184002;Moussac;1900;Biologique avec nitrification;799658;6320990;799395;6320330;1;30184;MOUSSAC;30;76;;;;;
2015;060930186002;Nages Et Solorgues            ;2600;Biol. avec nitrif., dénitrif. et déphosphatation;797978;6299628;797744;6299351;1;30186;NAGES ET SOLORGUES;30;76;;;;;
2015;060930187002;Navacelles                    ;400;Biologique avec nitrification;798858;6341324;798874;6341342;2;30187;NAVACELLES;30;76;;;;;
2015;060930188002;Ners                          ;1000;Biologique avec nitrification;792965;6325439;793012;6325354;1;30188;NERS;30;76;;;;;
