code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
020814200009,DONCHERY,3825,6.224804333333332,209,91.7,25.2,Rhin-Meuse
028827001226,LIFFOL-LE-GRAND,3735,6.228539333333332,210,91.8,25.3,Rhin-Meuse
025415001455,CUSTINES,3700,6.232239333333332,211,91.8,25.4,Rhin-Meuse
025423201741,GONDREVILLE,3600,6.235839333333332,212,91.9,25.5,Rhin-Meuse
020821802159,LES HAUTES-RIVIERES,3500,6.239339333333332,213,91.9,25.7,Rhin-Meuse
025746001816,MERTEN,3500,6.2428393333333325,214,92,25.8,Rhin-Meuse
025748200224,MONTOY-FLANVILLE,3500,6.246339333333332,215,92,25.9,Rhin-Meuse
025757200247,REMILLY,3500,6.249839333333332,216,92.1,26,Rhin-Meuse
025758900249,ROHRBACH-LES-BITCHE,3500,6.253339333333332,217,92.1,26.1,Rhin-Meuse
026718500326,HATTMATT,3500,6.256839333333332,218,92.2,26.3,Rhin-Meuse
026747600396,STATTMATTEN,3500,6.260339333333332,219,92.2,26.4,Rhin-Meuse
026809202558,FISLIS,3500,6.263839333333332,220,92.3,26.5,Rhin-Meuse
025719601953,ERCHING,3433.3333333333335,6.267272666666665,221,92.3,26.6,Rhin-Meuse
025515801974,DOMMARY-BARONCOURT,3416.666666666667,6.2706893333333324,222,92.4,26.7,Rhin-Meuse
020809000004,CARIGNAN,3400,6.2740893333333325,223,92.4,26.9,Rhin-Meuse
025758801818,RODEMACK,3400,6.277489333333332,224,92.5,27,Rhin-Meuse
025713200139,CHATEAU-SALINS,3375,6.280864333333332,225,92.5,27.1,Rhin-Meuse
025446200086,ROSIERES-AUX-SALINES,3300,6.284164333333332,226,92.6,27.2,Rhin-Meuse
025702800116,ARGANCY,3300,6.287464333333332,227,92.6,27.3,Rhin-Meuse
026737800375,PLOBSHEIM,3300,6.290764333333332,228,92.7,27.5,Rhin-Meuse
028848600513,VAGNEY,3285,6.294049333333332,229,92.7,27.6,Rhin-Meuse
026729902033,MOLLKIRCH,3283.3333333333335,6.297332666666665,230,92.8,27.7,Rhin-Meuse
028840801877,RUPT-SUR-MOSELLE,3250,6.300582666666665,231,92.8,27.8,Rhin-Meuse
020835701857,REMILLY-AILLICOURT,3233.3333333333335,6.3038159999999985,232,92.9,28,Rhin-Meuse
025727501478,GUESSLING-HEMERING,3227,6.307042999999998,233,92.9,28.1,Rhin-Meuse
025428901753,LAITRE-SOUS-AMANCE,3225,6.310267999999998,234,93,28.2,Rhin-Meuse
