identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0005101904;PROCTER et  GAMBLE AMIENS;2008;0;0;778000;0
0006501929;SILEC CABLE;2008;2580000;0;20700;0
0006400445;SMURFIT KAPPA PAPETERIE ALFA D'AVIGNON;2008;0;1330000;0;0
0005800585;KIMBERLY CLARK SNC;2008;0;0;358000;0
0006102944;SIEGL;2008;124000;2000;227;0
0006506349;Peugeot Citroën Automobiles S.A. Aulnay;2008;353000;0;60300;0
0010000973;CHRYSO SAS;2008;0;0;53400;0
0006201682;DEPALOR S.A.S;2008;96900;0;1840;0
0007000666;ARDO-VIOLAINES SAS;2008;208000;0;288;0
0006201864;CLARIOS SARREGUEMINES SAS;2008;0;0;102000;0
0006104158;HCL - GROUPEMENT HOSPITALIER EST;2008;0;0;281000;0
0006500049;KERAGLASS;2008;137000;4540;6790;0
0007201348;RHODIA  OPERATIONS (Groupe SOLVAY);2008;1150000;0;29600;0
0006206235;PAPETERIES DES VOSGES;2008;0;684000;12000;0
0005802304;LUNOR DISTRIBUTION;2008;0;0;209000;0
0006802957;CMT FINITION le martinet;2008;0;146000;0;0
0010400049;MARTINET;2008;0;0;120000;0
0007201542;CIMENTS CALCIA sas;2008;0;378000;9670;0
0007002425;Stoelzle de Masnières Parfumeries;2008;70600;0;1610;0
0006202174;MARCILLAT CORCIEUX site ETS ASMAR;2008;161000;0;544;0
0005202713;SOBEGI SAS;2008;70200;720000;55200;0
0005801442;ASPEN NOTRE DAME DE BONDEVILLE;2008;739000;0;0;0
0005500471;SVA JEAN ROZE;2008;150000;0;69400;0
0005101524;EJ Picardie;2008;124000;0;0;0
0005800492;CITRON SA;2008;0;0;144000;0
0005601475;WAVIN SAS;2008;1170000;0;0;0
0005103728;SOCOPIC-Sté Cogénér.Picardie (ex.Dalkia);2008;0;0;435000;0
0006400402;SAINT-GOBAIN ISOVER;2008;698000;0;10400;0
0005501982;LORCO;2008;0;0;149000;0
0007000637;MG-VALDUNES;2008;0;1010000;9990;0
0010000451;Cristal Union - Etablissement Toury;2008;451000;0;2670;0
0006404835;AIR LIQUIDE FRANCE INDUSTRIE (ALFI);2008;0;0;387000;0
0006700717;FONDERIE DE LA BRUCHE - COLIBRU;2008;0;154000;7860;0
0005101189;BIGARD SA;2008;0;0;70000;0
0075435775;Station du Grand Nancy située à MAXEVILLE;2008;194000;0;0;0
0007000968;AIR LIQUIDE FRANCE INDUSTRIE (ALFI);2008;75400;0;1180;0
0006503133;GEO;2008;0;0;109000;0
