Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2007;060901099002;CHAZEY SUR AIN - RIGNIEUX;600;Biol. / Nitrif.;144,117;12,974;8,217;,577;2,162;,029;,007;,033;28,102815;1,2974;1,6434;,4039;,4324;,0145;,0035;,0132;01099;CHAZEY SUR AIN;01;RHONE-ALPES;V294
2007;060901100001;CHEIGNIEU LA BALME;125;Biologique Simple;35,09;3,159;2,001;,14;,527;,007;,002;,008;8,17597;,3159;,4002;,098;,3689;,0035;,001;,0032;01100;CHEIGNIEU LA BALME;01;RHONE-ALPES;V145
2007;060901101001;CHEVILLARD;150;Bassin de décantation;48,263;4,345;2,752;,193;,724;,01;,002;,011;37,596877;1,3035;2,752;,1544;,724;,01;,002;,011;01101;CHEVILLARD;01;RHONE-ALPES;V250
2007;060901102002;CHEVROUX - FAYOLLE;250;Lagune;36,301;3,268;2,07;,145;,545;,007;,002;,008;8,421832;,3268;,414;,1015;,3815;,0035;,001;,0032;01102;CHEVROUX;01;RHONE-ALPES;U405
2007;060901104001;CHEZERY FORENS;1350;Biol. / Nitrif.;503,922;16,407;41,354;1,325;3,333;,02;,005;,023;55,935342;,82035;4,1354;,795;,3333;,008;,002;,0069;01104;CHEZERY FORENS;01;RHONE-ALPES;V101
2007;060901105001;CIVRIEUX;1500;Biol. / Nitrif.;608,816;54,81;34,713;2,436;9,135;,122;,03;,14;66,96976;2,7405;3,4713;1,4616;,9135;,0488;,012;,042;01105;CIVRIEUX;01;RHONE-ALPES;U471
2007;060901106001;CIZE;183;Biologique Simple;35,872;3,229;2,045;,144;,538;,007;,002;,008;24,93104;1,9374;1,4315;,1296;,4842;,007;,002;,008;01106;CIZE;01;RHONE-ALPES;V270
2007;060901107001;CLEYZIEU - CHEF LIEU;150;Filtres plantés;48,471;4,363;2,764;,194;,727;,01;,002;,011;9,354903;,4363;,5528;,12804;,1454;,01;,002;,011;01107;CLEYZIEU;01;RHONE-ALPES;V293
2007;060901107002;CLEYZIEU - VILLENEUVE;30;Biologique Simple;4,324;,389;,247;,017;,065;,001;0;,001;,998844;,0389;,0494;,0119;,0455;,0005;0;,0004;01107;CLEYZIEU;01;RHONE-ALPES;V293
2007;060901108001;COLIGNY - PRE DU MAI;1500;Biol. / Nitrif.;414,975;37,359;23,661;1,66;6,227;,083;,021;,095;282,183;22,4154;16,5627;1,494;4,3589;,083;,021;,095;01108;COLIGNY;01;RHONE-ALPES;U343
2007;060901109001;COLLONGES;2000;Lagune;611,175;55,023;34,848;2,445;9,17;,122;,031;,141;221,856525;16,5069;10,4544;1,956;7,336;,0854;,0217;,0705;01109;COLLONGES;01;RHONE-ALPES;V100
2007;060901110001;COLOMIEU;200;Filtres plantés;55,101;4,961;3,142;,22;,827;,011;,003;,013;6,06111;,24805;,3142;,132;,0827;,011;,003;,013;01110;COLOMIEU;01;RHONE-ALPES;V161
2007;060901112001;CONDAMINE;450;Biol. / Nitrif.;142,465;12,825;8,123;,57;2,138;,029;,007;,033;15,67115;,64125;,8123;,342;,2138;,0116;,0028;,0099;01112;CONDAMINE;01;RHONE-ALPES;V250
2007;060901113001;CONDEISSIAT;700;Lagune;249,029;22,42;14,199;,996;3,737;,05;,012;,057;58,023757;2,242;2,8398;,6972;2,6159;,025;,006;,0228;01113;CONDEISSIAT;01;RHONE-ALPES;U421
2007;060901114001;CONFORT - CHEF LIEU;700;Bassin de décantation;79,253;7,135;4,519;,317;1,189;,016;,004;,018;79,253;7,135;4,519;,317;1,189;,016;,004;,018;01114;CONFORT;01;RHONE-ALPES;V101
2007;060901114002;CONFORT - MENTHIERES;1167;Biol. / Nitrif.;51,642;4,649;2,944;,207;,775;,01;,003;,012;5,68062;,23245;,2944;,1242;,0775;,004;,0012;,0036;01114;CONFORT;01;RHONE-ALPES;V101
2007;060901115002;CONFRANCON;300;Lagune;780,824;70,288;44,52;3,128;11,712;,16;,04;,176;283,439112;21,0864;13,356;2,5024;9,3696;,112;,028;,088;01115;CONFRANCON;01;RHONE-ALPES;U424
2007;060901116001;CONTREVOZ - CHEF LIEU;330;Biol. / Nitrif.;127,16;11,448;7,25;,509;1,908;,025;,006;,029;86,4688;6,8688;5,075;,4581;1,3356;,025;,006;,029;01116;CONTREVOZ;01;RHONE-ALPES;V145
2007;060901116003;CONTREVOZ - BOISSIEU;190;Filtres plantés;15,9;1,431;,906;,064;,239;,003;,001;,004;1,749;,07155;,0906;,0384;,0239;,003;,001;,004;01116;CONTREVOZ;01;RHONE-ALPES;V146
2007;060901118001;CORBONOD;542;Lagune;161,948;14,579;9,234;,648;2,43;,032;,008;,037;37,733884;1,4579;1,8468;,4536;1,701;,016;,004;,0148;01118;CORBONOD;01;RHONE-ALPES;V113
2007;060901119001;CORCELLES;450;Biol. / Nitrif.;84,642;7,619;4,826;,339;1,27;,017;,004;,019;9,31062;,38095;,4826;,2034;,127;,0068;,0016;,0057;01119;CORCELLES;01;RHONE-ALPES;V291
2007;060901122001;CORMARANCHE EN BUGEY - VAUX;100;Lagune;57,442;5,171;3,275;,23;,862;,011;,003;,013;8,501416;,25855;,3275;,138;,5172;,0044;,0012;,0039;01122;CORMARANCHE EN BUGEY;01;RHONE-ALPES;V291
2007;060901123001;CORMORANCHE SUR SAONE;1800;Biol. / Nitrif.;578,268;52,059;32,971;2,314;8,677;,116;,029;,133;112,76226;5,2059;6,5942;1,6198;1,7354;,058;,0145;,0532;01123;CORMORANCHE SUR SAONE;01;RHONE-ALPES;U430
2007;060901124001;CORMOZ;225;Lagune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01124;CORMOZ;01;RHONE-ALPES;U344
2007;060901125001;CORVEISSIAT - ARNANS;130;Biologique Simple;20,127;1,812;1,147;,081;,302;,004;,001;,005;20,127;1,812;1,147;,081;,302;,004;,001;,005;01125;CORVEISSIAT;01;RHONE-ALPES;V281
2007;060901125002;CORVEISSIAT-ST MAURICE ECHAZEA;90;Biol. / Nitrif.;16,926;1,523;,965;,068;,254;,003;,001;,004;16,926;1,523;,965;,068;,254;,003;,001;,004;01125;CORVEISSIAT;01;RHONE-ALPES;V270
2007;060901125003;CORVEISSIAT - CUVERGNAT;100;Lagune;15,246;1,373;,869;,061;,229;,003;,001;,004;3,552318;,1373;,1738;,0427;,1603;,0015;,0005;,0016;01125;CORVEISSIAT;01;RHONE-ALPES;V281
