type_rj;code_rj;libelle;insee_commune;nom_commune;x_rj;y_rj;milieu_recepteur;derniere_annee;code_step;nom_step;nature_reseau;capacite;traitement_principal;debit_nominal_tps_sec;debit_nominal_tps_pluie;charge_nominale_dbo5;charge_nominale_dco;charge_nominale_mes;insee_commune_step;nom_commune_step;code_mo;siret_mo;nom_mo;x_step;y_step
RJ;0512011V0011;ARVIEU;12011;Arvieu;672240.0;6343860.0;R;;0512011V001;ARVIEU;;600.0;Secondaire bio (Ntk);90.0;;;;;12011;Arvieu;12011000A;21120011800019;COMMUNE D'ARVIEU ;672475.0;6343860.0
RJ;0512011V0021;ARVIEU (CAPLONGUE);12011;Arvieu;669963.0;6342230.0;F;;0512011V002;ARVIEU (CAPLONGUE);Séparatif;130.0;Secondaire bio (Ntk);20.0;;;;;12011;Arvieu;12011000A;21120011800019;COMMUNE D'ARVIEU ;669964.0;6342240.0
RJ;0512012V0021;ASPRIERES (Bourg n°2);12012;Asprières;631874.0;6382970.0;F;;0512012V002;ASPRIERES (Bourg n°2);;400.0;Secondaire bio (Ntk);60.0;;;;;12012;Asprières;12012000A;21120012600012;COMMUNE D'ASPRIERES ;631874.0;6382970.0
RJ;0512015V0011;AURIAC LAGAST;12015;Auriac-Lagast;665976.0;6339020.0;R;;0512015V001;AURIAC LAGAST;Unitaire;150.0;Secondaire bio (Ntk);22.0;;;;;12015;Auriac-Lagast;12015000A;21120015900013;COMMUNE D'AURIAC LAGAST ;665942.0;6338930.0
RJ;0512016V0011;AUZITS;12016;Auzits;646290.0;6378970.0;F;;0512016V001;AUZITS (Bourg);Séparatif;190.0;Secondaire bio (Ntk);28.0;;;;;12016;Auzits;12016000A;21120016700016;COMMUNE D'AUZITS ;646320.0;6378970.0
RJ;0512016V0021;AUZITS (RULHE-MARION);12016;Auzits;646288.0;6378980.0;F;;0512016V002;AUZITS (RULHE-MARION);Séparatif;200.0;Secondaire bio (Ntk);30.0;;;;;12016;Auzits;12016000A;21120016700016;COMMUNE D'AUZITS ;646308.0;6378980.0
RJ;0512017V0011;LE TRUEL (Costecalde);12017;Ayssènes;681223.0;6330410.0;F;;0512017V001;LE TRUEL (Costecalde);;50.0;Secondaire bio (Ntk);7.5;;;;;12017;Ayssènes;12284000A;21120284100014;COMMUNE DU TRUEL ;681219.0;6330410.0
RJ;0512019V0011;BALAGUIER SUR RANCE;12019;Balaguier-sur-Rance;666316.0;6311130.0;R;;0512019V001;BALAGUIER SUR RANCE;;110.0;Secondaire bio (Ntk);16.0;;;;;12019;Balaguier-sur-Rance;12019000A;21120019100016;COMMUNE DE BALAGUIER SUR RANCE ;666316.0;6311110.0
RJ;0512020V0011;BALSAC (BOURG);12090;Druelle Balsac;656238.0;6366920.0;F;;0512020V001;BALSAC (BOURG);;170.0;Secondaire bio (Ntk);25.0;;;;;12090;Druelle Balsac;12138002A;24120064100017;COMMUNAUTE DE COMMUNES CONQUES MARCILLAC;656238.0;6366910.0
RJ;0512020V0021;BALSAC (CAPDENAGUET);12090;Druelle Balsac;657132.0;6366110.0;R;;0512020V002;BALSAC (CAPDENAGUET);;100.0;Secondaire bio (Ntk);15.0;;;;;12090;Druelle Balsac;12138002A;24120064100017;COMMUNAUTE DE COMMUNES CONQUES MARCILLAC;657157.0;6366090.0
RJ;0512020V0031;BALSAC (SECTEUR N O);12090;Druelle Balsac;655580.0;6367650.0;R;;0512020V003;BALSAC (SECTEUR N O);;190.0;Secondaire bio (Ntk);28.0;;;;;12090;Druelle Balsac;12138002A;24120064100017;COMMUNAUTE DE COMMUNES CONQUES MARCILLAC;655603.0;6367590.0
